Hospital Code,Notice Box HTML
FLOMO,
COAST,"<p> <span> Annual Holiday Closings: Noon on New Year's Eve, New Year's Day, Easter Sunday, Memorial Day, July 4th, Labor Day, Thanksgiving Day, Noon on Christmas Eve, and Christmas Day. <br/> </span> </p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ACCC," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ACUPET," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ALLCRT,
CARFOR,
CDLCRK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHEVY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PARKCO,
CAROL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CLAYTN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COLLEG," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DUTCH,
FLOW," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FOSTAC," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FOSTAH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CORNER,"
<p>
<b>
Please Note:
</b>
In order to continue offering the best medical care, we close Thursdays from 12:00pm-1:00pm for staff training and development.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
SCOTT," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TAYLOR,"<p>
Se Habla Espa̱ol.
</p>
"
BPARK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GARDEN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HASLET," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HMLOCK,"Closed 1st Saturday of every month. <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
LAKFOR," 
We are open Sunday evenings to accommodate for boarding pickups only!

 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PARKTX,
RDWOOD," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TALGRS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TIMBER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PLESVA," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
RIVERS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HRTLND,"
<p>
<b>
Please Note:
</b>
You may drop off pets for surgery or other services at 7:30am. However, there are no doctors or appointments available until 8:00am. Our phone service also opens at this time.
</p>
"
LAKAUS,
MOORE,"
<p>
Closed from 12:00pm-2:00pm on Tuesdays.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NOROCK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ARKAH,
ESTGRE,"<p>Open Saturday: 8:00 AM - 12:00 PM Alternating Weekends</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JUPITR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GREATB," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
RIVERF," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CMAC,"
<p>
<strong>
<em>
Sunday hours are for Boarding drop off and pick up only!
</em>
</strong>
</p>
<br/>
<p>
<strong>
Please Note:
</strong>
We will be closed between 12:00pm-1:00pm on the first Wednesday of every month for our monthly staff meeting.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
KEMPS,
FIRETR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
LHAVEN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JASPER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MADI,"
<p>
Sunday hours are only for our boarding facility.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MORGAN,
NINAP," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NINAS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AGAPE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GENTLE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COLVET," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PONTEV,"
<p>
<strong>
Please Note:
</strong>
Doctors arrive at 9:00am.
</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PHARR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PLAZA,
SUNSHN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TOCARE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TAILS," <p class=""holidayHours""><b>Holiday Hours:</b> We will operate a limited schedule from 8am - pm on Monday, September 2, 2024 for Urgent Care Only.</p>"
TVKUNA,
TVMERI,
CONROE," <p class=""holidayHours""><b>Holiday Hours:</b> We will operate a limited schedule from 4pm - 6pm on Monday, September 2, 2024 for boarding pickups only.</p>"
RIVCIT,"<span>
Pet Resort Hour Specifics:
</span>
<br/>
<br/>
<span>
Monday - Friday: Same as Hospital Hours
</span>
<br/>
<br/>
<span>
Saturday: 9:00am - 6:00pm (Daycare Closed)
</span>
<br/>
<br/>
<span>
Sunday: 9:00am - 5:00pm (Boarding arrivals and departures only)
</span>"
MIDLO," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MOBLEY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
SHELBY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ABADIE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ABSMEU," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CYPRES," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HOLT,
HORNLK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
APPAL,
KENDAL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COLHAR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COLRAN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CROSS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
RICHAC," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WESDEN,"
<p>
Open every other Saturday: 7:00am - 2:00pm
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FOUNT," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
KASPER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NEAST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PARMER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
POUNCE,"
<p>
<b>
Please Note:
</b>
We are closed on all major holidays.
</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AVERIL,
